"age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y","age_num","na_count"
"Jove-Adult","blue-collar","married","basic",NA,"yes","no","telephone","apr","mon",1353,2,"Yes","success",-1.8,93.075,-47.1,1.466,5099.1,"yes",34,1
"Jove-Adult","blue-collar","married","basic","no","yes","no","cellular","jul","tue",864,4,"No","nonexistent",1.4,93.918,-42.7,4.961,5228.1,"yes",36,0
"Jove-Adult","services","divorced","basic","no","no","yes","cellular","apr","thu",1579,1,"No","failure",-1.8,93.075,-47.1,1.41,5099.1,"yes",45,1
"Gran","unemployed","divorced","basic","no","yes","no","cellular","mar","tue",178,1,"No","nonexistent",-1.8,92.843,-50,1.614,5099.1,"yes",77,1
"Jove-Adult","self-employed","single","university.degree","no","yes","no","cellular","apr","thu",152,2,"No","nonexistent",-1.8,93.075,-47.1,1.435,5099.1,"yes",30,0
"Jove-Adult","admin.","married","university.degree","no","yes","no","cellular","jul","wed",570,2,"No","nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes",36,0
"Jove-Adult","blue-collar","married","basic","no","yes","no","cellular","may","mon",1038,1,"No","failure",-1.8,92.893,-46.2,1.299,5099.1,"yes",30,1
"Jove-Adult","technician","single","university.degree","no","no","no","cellular","nov","thu",454,1,"No","nonexistent",-0.1,93.2,-42,4.076,5195.8,"yes",32,0
"Jove-Adult","technician","married","professional.course","no","yes","no","cellular","aug","tue",1344,1,"No","nonexistent",1.4,93.444,-36.1,4.966,5228.1,"yes",41,0
"Jove","admin.","single","university.degree","no","no","no","cellular","apr","wed",341,2,"No","nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",23,0
"Adult","unemployed","married","basic",NA,"yes","no","cellular","aug","wed",501,1,"No","nonexistent",1.4,93.444,-36.1,4.967,5228.1,"yes",49,1
"Adult","management","married","university.degree","no","no","no","cellular","aug","thu",644,2,"No","nonexistent",1.4,93.444,-36.1,4.963,5228.1,"yes",51,0
"Adult","unemployed","married","high.school",NA,"yes","no","cellular","aug","thu",674,1,"No","nonexistent",1.4,93.444,-36.1,4.968,5228.1,"yes",56,1
"Jove-Adult","technician","divorced","professional.course","no","yes","no","cellular","aug","wed",1552,3,"No","nonexistent",1.4,93.444,-36.1,4.967,5228.1,"yes",44,0
"Jove-Adult","admin.","single","university.degree","no","yes","yes","cellular","nov","fri",529,1,"No","nonexistent",-0.1,93.2,-42,4.021,5195.8,"yes",35,0
"Jove-Adult","blue-collar","married","basic","no","no","no","cellular","apr","thu",583,1,"Yes","success",-1.8,93.075,-47.1,1.41,5099.1,"yes",32,0
"Jove-Adult","management","married","university.degree","no","yes","no","cellular","jul","wed",957,3,"No","nonexistent",1.4,93.918,-42.7,4.963,5228.1,"yes",30,0
"Jove-Adult","management","married","university.degree","no","no","no","cellular","nov","thu",1192,1,"No","nonexistent",-0.1,93.2,-42,4.076,5195.8,"yes",43,0
"Jove-Adult","technician","single","basic","no","yes","no","telephone","apr","wed",523,2,"No","nonexistent",-1.8,93.075,-47.1,1.445,5099.1,"yes",27,0
"Jove-Adult","admin.","married","university.degree","no","yes","no","cellular","jul","fri",494,1,"No","nonexistent",1.4,93.918,-42.7,4.957,5228.1,"yes",27,0
"Jove-Adult","blue-collar","married","basic",NA,"no","no","cellular","apr","tue",608,1,"No","failure",-1.8,93.075,-47.1,1.453,5099.1,"yes",43,2
"Adult","admin.","single","university.degree","no","yes","no","cellular","may","tue",851,1,"No","nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"yes",58,0
"Jove-Adult","admin.","single","university.degree","no","yes","no","cellular","apr","thu",1277,1,"No","nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes",41,2
"Jove-Adult","blue-collar","married","basic","no","no","no","cellular","jul","fri",640,3,"No","nonexistent",1.4,93.918,-42.7,4.957,5228.1,"yes",37,0
"Jove-Adult","admin.","married","university.degree",NA,"yes","no","cellular","aug","tue",1332,1,"No","nonexistent",1.4,93.444,-36.1,4.968,5228.1,"yes",43,1
"Adult","unemployed","married","basic",NA,"yes","no","cellular","jul","fri",817,2,"No","nonexistent",1.4,93.918,-42.7,4.963,5228.1,"yes",53,1
"Jove-Adult","admin.","married","university.degree","no","yes","yes","cellular","may","mon",742,4,"No","nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"yes",30,0
"Adult","unemployed","married","basic","no","yes","no","cellular","nov","fri",481,2,"No","nonexistent",-0.1,93.2,-42,4.021,5195.8,"yes",56,0
"Jove-Adult","admin.","single","university.degree","no","yes","no","cellular","apr","thu",239,1,"No","nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes",26,0
"Adult","technician","married","professional.course",NA,"yes","no","telephone","may","thu",920,2,"No","nonexistent",1.1,93.994,-36.4,4.86,5191,"yes",53,1
"Jove-Adult","blue-collar","married","high.school","no","no","no","telephone","may","wed",1028,2,"No","nonexistent",1.1,93.994,-36.4,4.859,5191,"yes",40,0
"Jove-Adult","technician","single","professional.course","no","yes","no","cellular","mar","fri",266,1,"No","nonexistent",-1.8,92.843,-50,1.726,5099.1,"yes",34,0
"Jove-Adult","services","married","high.school","no","yes","no","cellular","may","wed",611,1,"No","failure",-1.8,92.893,-46.2,1.334,5099.1,"yes",31,1
"Jove-Adult","services","married","high.school","no","yes","no","cellular","may","tue",737,3,"No","nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"yes",33,0
"Adult","admin.","divorced","high.school","no","yes","yes","telephone","jun","wed",967,2,"No","nonexistent",1.4,94.465,-41.8,4.959,5228.1,"yes",48,0
"Adult","technician","married","professional.course","no","yes","no","telephone","jul","tue",616,2.60348402708638,"No","nonexistent",1.4,93.918,-42.7,4.961,5228.1,"yes",48,1
"Jove-Adult","technician","married","professional.course","no","yes","yes","cellular","aug","wed",657,6,"No","nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes",39,0
"Jove-Adult","blue-collar","married","basic","no","no","no","telephone","jun","fri",693,3,"No","nonexistent",1.4,94.465,-41.8,4.959,5228.1,"yes",38,0
"Jove-Adult","blue-collar","married","basic","no","no","no","telephone","jun","thu",761,2,"No","nonexistent",1.4,94.465,-41.8,4.866,5228.1,"yes",34,0
"Adult","unemployed","divorced","university.degree","no","no","no","cellular","apr","thu",949,2,"No","nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes",61,0
"Jove-Adult","technician","single","professional.course","no","no","no","cellular","aug","fri",193,2,"No","nonexistent",1.4,93.444,-36.1,4.966,5228.1,"yes",31,0
"Adult","blue-collar","married","professional.course","no","yes","no","telephone","may","mon",621,4,"No","nonexistent",1.1,93.994,-36.4,4.857,5191,"yes",56,0
"Jove-Adult","admin.","divorced","university.degree","no","no","no","cellular","may","fri",308,3,"No","nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"yes",42,0
"Jove-Adult","technician","single","university.degree","no","yes","no","cellular","aug","fri",974,4,"No","nonexistent",1.4,93.444,-36.1,4.964,5228.1,"yes",35,0
"Jove-Adult","unemployed","single","university.degree","no","yes","no","cellular","may","mon",251,4,"No","nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"yes",36,0
"Jove-Adult","technician","single","high.school","no","yes","yes","cellular","jul","mon",894,7,"No","nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes",26,0
"Jove-Adult","technician","single","basic","no","yes","no","cellular","may","thu",479,1,"Yes","success",-1.8,92.893,-46.2,1.266,5099.1,"yes",31,0
"Jove-Adult","technician","married","professional.course","no","yes","no","cellular","aug","thu",946,2,"No","nonexistent",1.4,93.444,-36.1,4.963,5228.1,"yes",33,2
"Jove-Adult","technician","single","university.degree","no","no","no","cellular","apr","fri",202,5,"No","failure",-1.8,93.075,-47.1,1.4,5099.1,"yes",38,1
"Jove-Adult","technician","single","university.degree","no","yes","no","cellular","jul","thu",560,1,"No","nonexistent",1.4,93.918,-42.7,4.963,5228.1,"yes",34,0
"Jove-Adult","technician","married","professional.course","no","yes","no","cellular","mar","fri",207,2,"Yes","success",-1.8,92.843,-50,1.726,5099.1,"yes",38,0
"Jove-Adult","blue-collar","married","basic",NA,"no","no","cellular","jul","wed",727,3,"No","nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes",34,1
"Adult","admin.","divorced","high.school",NA,"no","yes","cellular","jul","mon",630,3,"No","nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes",59,1
"Jove-Adult","management","single","university.degree",NA,"yes","no","telephone","may","fri",844,1,"No","nonexistent",1.1,93.994,-36.4,4.859,5191,"yes",44,1
"Jove-Adult","technician","married","high.school","no","no","no","cellular","aug","wed",703,1,"No","nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes",33,0
"Jove-Adult","admin.","married","university.degree","no","no","yes","cellular","nov","fri",902,1,"No","nonexistent",-0.1,93.2,-42,4.021,5195.8,"yes",42,0
"Jove-Adult","unemployed","married","university.degree",NA,"yes","no","cellular","mar","fri",95,2,"No","failure",-1.8,92.843,-50,1.531,5099.1,"yes",36,4
"Jove-Adult","blue-collar","married","basic","no","yes","no","telephone","jun","thu",614,2,"No","nonexistent",1.4,94.465,-41.8,4.958,5228.1,"yes",36,0
"Jove-Adult","self-employed","married","basic",NA,"no","no","telephone","may","thu",734,1,"No","nonexistent",1.1,93.994,-36.4,4.86,5191,"yes",45,1
"Jove-Adult","admin.","married","high.school","no","no","no","cellular","jul","wed",359,5,"No","nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes",34,0
"Jove-Adult","technician","married","university.degree","no","no","no","cellular","apr","thu",270,2,"No","nonexistent",-1.8,93.075,-47.1,1.406,5099.1,"yes",35,0
"Jove-Adult","blue-collar","single","basic","no","no","no","cellular","apr","thu",452,1,"No","nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes",33,0
"Jove-Adult","admin.","divorced","high.school","no","no","no","cellular","jul","wed",1960,3,"No","nonexistent",1.4,93.918,-42.7,4.963,5228.1,"yes",36,0
"Jove-Adult","admin.","single","high.school","no","no","no","cellular","apr","mon",785,1,"No","nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",26,0
"Jove-Adult","self-employed","married","basic","no","no","yes","cellular","may","wed",482,2,"No","nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"yes",38,0
"Adult","blue-collar","married","basic","no","yes","no","telephone","may","fri",600,1,"No","nonexistent",1.1,93.994,-36.4,4.857,5191,"yes",47,0
"Jove","services","single","high.school","no","yes","no","cellular","mar","tue",305,1.78054049446002,"No","nonexistent",-1.8,92.843,-50,1.799,5099.1,"yes",24,2
"Jove-Adult","technician","single","university.degree","no","no","no","telephone","oct","wed",676,1,"No","nonexistent",-0.1,93.798,-40.4,4.936,5195.8,"yes",30,0
"Gran","unemployed","divorced","basic","no","yes","no","cellular","mar","mon",187,3,"No","nonexistent",-1.8,92.843,-50,1.811,5099.1,"yes",70,0
"Jove-Adult","admin.","married","university.degree","no","yes","no","telephone","may","thu",1059,2,"No","nonexistent",1.1,93.994,-36.4,4.86,5191,"yes",37,0
"Jove-Adult","admin.","single","high.school","no","yes","no","cellular","may","wed",850,1,"No","nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"yes",31,0
"Jove","management","married","university.degree","no","yes","no","telephone","nov","wed",268,1,"No","nonexistent",-0.1,93.2,-42,4.663,5195.8,"yes",25,0
"Jove-Adult","management","married","university.degree","no","yes","no","telephone","nov","wed",204,1,"No","nonexistent",-0.1,93.2,-42,4.663,5195.8,"yes",39,0
"Jove-Adult","technician","divorced","professional.course","no","no","no","cellular","apr","thu",774,2,"No","failure",-1.8,93.075,-47.1,1.365,5099.1,"yes",41,1
"Jove-Adult","management","married","university.degree",NA,"no","yes","telephone","jun","thu",636,1,"No","nonexistent",1.4,94.465,-41.8,4.866,5228.1,"yes",41,2
"Adult","unemployed","married","basic","no","yes","no","telephone","nov","tue",150,2,"No","nonexistent",-0.1,93.2,-42,4.153,5195.8,"yes",50,0
"Jove-Adult","admin.","single","university.degree","no","yes","no","cellular","apr","thu",645,1,"No","nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes",38,0
"Jove-Adult","technician","single","professional.course","no","yes","no","cellular","may","fri",317,1,"No","failure",-1.8,92.893,-46.2,1.259,5099.1,"yes",40,1
"Jove","unemployed","single","university.degree","no","yes","no","cellular","apr","mon",213,3,"No","nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",19,3
"Jove-Adult","blue-collar","married","basic","no","yes","no","cellular","may","thu",1020,1,"No","nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"yes",32,2
"Adult","self-employed","married","university.degree",NA,"yes","no","cellular","aug","mon",932,2,"No","nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes",57,1
"Jove-Adult","management","single","university.degree","no","yes","no","cellular","mar","tue",71,3,"No","nonexistent",-1.8,92.843,-50,1.687,5099.1,"yes",32,0
"Jove-Adult","blue-collar","married","basic","no","no","no","telephone","may","thu",535,2,"No","nonexistent",1.1,93.994,-36.4,4.86,5191,"yes",31,0
"Adult","admin.","divorced","university.degree","no","yes","no","cellular","may","mon",367,1,"No","nonexistent",-1.8,92.893,-46.2,1.354,5099.1,"yes",53,0
"Jove-Adult","self-employed","married","university.degree","no","yes","no","cellular","may","wed",1074,4,"No","failure",-1.8,92.893,-46.2,1.334,5099.1,"yes",45,1
"Jove-Adult","self-employed","married","professional.course",NA,"yes","yes","cellular","jul","wed",683,2,"No","nonexistent",1.4,93.918,-42.7,4.963,5228.1,"yes",29,1
"Jove-Adult","admin.","divorced","high.school","no","no","no","cellular","jul","mon",837,2,"No","nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes",40,0
"Jove-Adult","management","married","basic","no","yes","no","telephone","may","wed",648,1,"No","nonexistent",1.1,93.994,-36.4,4.857,5191,"yes",41,0
"Jove-Adult","admin.","single","high.school","no","yes","no","telephone","may","thu",1047,2,"No","nonexistent",1.1,93.994,-36.4,4.86,5191,"yes",40,0
"Jove-Adult","admin.","married","university.degree","no","yes","no","cellular","apr","thu",394,1,"No","nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes",32,0
"Jove-Adult","management","married","university.degree","no","no","no","cellular","may","thu",647,1,"No","failure",-1.8,92.893,-46.2,1.327,5099.1,"yes",45,1
"Jove-Adult","admin.","married","university.degree","no","yes","no","cellular","aug","wed",718,1,"No","nonexistent",1.4,93.444,-36.1,4.964,5228.1,"yes",29,0
"Jove-Adult","services","divorced","high.school","no","yes","no","cellular","may","thu",533,1,"No","nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"yes",44,0
"Jove-Adult","admin.","married","university.degree","no","no","no","cellular","jul","tue",815.566837213148,1,"No","nonexistent",1.4,93.918,-42.7,4.961,5228.1,"yes",33,1
"Jove-Adult","admin.","married","university.degree","no","no","no","cellular","aug","tue",766,2,"No","nonexistent",1.4,93.444,-36.1,4.968,5228.1,"yes",41,0
"Adult","admin.","married","basic","no","no","no","cellular","jul","wed",1171,2,"No","nonexistent",1.4,93.918,-42.7,4.963,5228.1,"yes",52,0
"Jove-Adult","blue-collar","married","basic",NA,"no","no","telephone","may","fri",745,2.07252029997689,"No","nonexistent",1.1,93.994,-36.4,4.864,5191,"yes",43,2
"Jove-Adult","blue-collar","married","basic","no","yes","no","telephone","jun","mon",1036,1,"No","nonexistent",1.4,94.465,-41.8,4.865,5228.1,"yes",42,0
"Adult","blue-collar","married","basic","no","yes","no","telephone","may","thu",697,3,"No","nonexistent",1.1,93.994,-36.4,4.86,5191,"yes",50,0
"Jove-Adult","self-employed","married","basic",NA,"no","no","cellular","aug","fri",1000,1,"No","nonexistent",1.4,93.444,-36.1,4.966,5228.1,"yes",33,1
"Jove-Adult","blue-collar","married","basic","no","no","yes","telephone","jun","tue",922.907634352467,2,"No","nonexistent",1.4,94.465,-41.8,4.864,5228.1,"yes",40,1
"Adult","blue-collar","married","basic",NA,"yes","no","cellular","may","wed",659,1,"No","nonexistent",-1.8,92.893,-46.2,1.281,5099.1,"yes",53,1
"Adult","unemployed","married","university.degree",NA,"yes","no","telephone","jun","thu",1012,1,"No","nonexistent",1.4,94.465,-41.8,4.961,5228.1,"yes",55,1
"Jove-Adult","services","single","high.school","no","no","no","cellular","may","fri",293,2,"No","nonexistent",-1.8,92.893,-46.2,1.259,5099.1,"yes",31,0
"Jove-Adult","admin.","married","university.degree","no","yes","no","cellular","apr","tue",496,1,"No","nonexistent",-1.8,93.075,-47.1,1.423,5099.1,"yes",30,0
"Jove-Adult","self-employed","single","university.degree","no","no","no","cellular","apr","thu",245,3,"No","nonexistent",-1.8,93.075,-47.1,1.435,5099.1,"yes",30,0
"Jove-Adult","admin.","married","university.degree","no","no","no","cellular","apr","thu",522,4,"No","nonexistent",-1.8,93.075,-47.1,1.406,5099.1,"yes",43,0
"Jove-Adult","services","single","high.school","no","no","no","cellular","jul","fri",588,7,"No","nonexistent",1.4,93.918,-42.7,4.957,5228.1,"yes",26,0
"Jove-Adult","technician","married","professional.course","no","no","no","cellular","apr","thu",225,1,"Yes","success",-1.8,93.075,-47.1,1.365,5099.1,"yes",39,0
"Jove-Adult","management","married","university.degree","no","yes","no","cellular","may","fri",1276,1,"No","nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"yes",38,0
"Adult","admin.","married","basic",NA,"no","no","cellular","may","fri",901,1,"No","nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"yes",58,1
"Jove-Adult","technician","single","professional.course","no","yes","no","cellular","apr","mon",740,3,"No","nonexistent",-1.8,93.075,-47.1,1.466,5099.1,"yes",29,0
"Adult","management","married","basic","no","yes","no","cellular","may","tue",725,1,"No","nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"yes",48,0
"Jove-Adult","admin.","single","university.degree","no","no","no","cellular","mar","wed",506,2,"No","nonexistent",-1.8,92.843,-50,1.548,5099.1,"yes",28,0
"Adult","blue-collar","married","basic",NA,"no","no","cellular","jul","thu",1275,1,"No","nonexistent",1.4,93.918,-42.7,4.958,5228.1,"yes",50,2
"Adult","admin.","married","university.degree","no","no","no","cellular","may","wed",429,3,"No","failure",-1.8,92.893,-46.2,1.281,5099.1,"yes",52,1
"Adult","blue-collar","married","basic",NA,"no","no","telephone","jun","fri",1276,2,"No","nonexistent",1.4,94.465,-41.8,4.967,5228.1,"yes",56,1
"Jove-Adult","blue-collar","single","basic","no","yes","no","cellular","may","fri",676,3,"No","nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"yes",35,0
"Jove-Adult","services","married","basic","no","no","no","telephone","may","tue",945,2,"No","nonexistent",1.1,93.994,-36.4,4.856,5191,"yes",31,0
"Jove","technician","single","university.degree","no","no","no","cellular","may","fri",382,1,"No","nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"yes",22,0
"Adult","self-employed","married","illiterate","no","yes","no","cellular","apr","thu",838,3,"No","nonexistent",-1.8,93.075,-47.1,1.41,5099.1,"yes",51,0
"Jove-Adult","blue-collar","married","high.school","no","no","no","telephone","may","fri",1236,2,"No","nonexistent",1.1,93.994,-36.4,4.864,5191,"yes",37,0
"Jove-Adult","blue-collar","married","basic","no","yes","no","cellular","may","thu",607,3,"No","nonexistent",-1.8,92.893,-46.2,1.266,5099.1,"yes",39,0
"Gran","unemployed","married","basic","no","yes","no","telephone","apr","tue",137,2,"No","nonexistent",-1.8,93.075,-47.1,1.405,5099.1,"yes",78,0
"Jove-Adult","admin.","married","university.degree","no","no","no","telephone","jul","mon",733,3,"No","nonexistent",1.4,93.918,-42.7,4.96,5228.1,"yes",39,0
"Jove-Adult","admin.","married","basic",NA,"no","no","telephone","jun","fri",973,2,"No","nonexistent",1.4,94.465,-41.8,4.959,5228.1,"yes",45,1
"Jove-Adult","admin.","married","university.degree","no","yes","no","cellular","jul","fri",799,2,"No","nonexistent",1.4,93.918,-42.7,4.957,5228.1,"yes",30,0
"Adult","self-employed","married","university.degree","no","no","no","cellular","apr","thu",619,1,"No","nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes",48,0
"Adult","blue-collar","married","high.school","no","no","no","cellular","apr","thu",439,2,"No","nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes",47,0
"Jove-Adult","technician","divorced","professional.course","no","no","no","cellular","may","fri",354,1,"No","nonexistent",-1.8,92.893,-46.2,1.259,5099.1,"yes",35,0
"Jove-Adult","blue-collar","married","basic",NA,"no","yes","telephone","jun","fri",1210,1,"No","nonexistent",1.4,94.465,-41.8,4.959,5228.1,"yes",45,1
"Jove-Adult","admin.","single","university.degree","no","yes","no","cellular","jul","tue",819,3,"No","nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes",34,0
"Jove-Adult","blue-collar","single","basic","no","yes","yes","cellular","jul","fri",1081,2,"No","nonexistent",1.4,93.918,-42.7,4.957,5228.1,"yes",31,0
"Adult","blue-collar","married","basic","no","no","no","cellular","may","mon",474,1,"Yes","success",-1.8,92.893,-46.2,1.299,5099.1,"yes",50,0
"Jove-Adult","admin.","married","university.degree","no","no","no","telephone","jun","fri",1023,3,"No","nonexistent",1.4,94.465,-41.8,4.959,5228.1,"yes",43,0
"Jove-Adult","technician","divorced","professional.course","no","yes","no","cellular","jul","wed",662,1,"No","nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes",31,0
"Jove-Adult","admin.","single","university.degree","no","yes","no","cellular","apr","thu",592,4,"No","failure",-1.8,93.075,-47.1,1.435,5099.1,"yes",36,1
"Jove-Adult","blue-collar","married","basic","no","yes","no","cellular","may","tue",672,2,"No","nonexistent",-1.8,92.893,-46.2,1.344,5099.1,"yes",45,0
"Jove-Adult","unemployed","married","basic","no","no","no","telephone","jun","mon",947,4,"No","nonexistent",1.4,94.465,-41.8,4.865,5228.1,"yes",38,0
"Jove-Adult","technician","single","university.degree","no","yes","yes","cellular","aug","thu",1288,3,"No","nonexistent",1.4,93.444,-36.1,4.968,5228.1,"yes",30,0
"Jove-Adult","admin.","single","university.degree","no","yes","yes","telephone","oct","mon",718,1,"No","nonexistent",-0.1,93.798,-40.4,5,5195.8,"yes",30,0
"Jove-Adult","admin.","single","high.school","no","yes","no","cellular","apr","thu",354,1,"Yes","success",-1.8,93.075,-47.1,1.365,5099.1,"yes",45,0
"Jove-Adult","self-employed","married","university.degree","no","no","no","cellular","mar","wed",197,2,"No","nonexistent",-1.8,92.843,-50,1.663,5099.1,"yes",29,0
"Jove-Adult","management","single","university.degree","no","yes","no","cellular","nov","wed",424,2,"No","nonexistent",-0.1,93.2,-42,4.12,5195.8,"yes",31,0
"Jove-Adult","technician","married","professional.course","no","yes","no","telephone","jun","fri",1617,1,"No","nonexistent",1.4,94.465,-41.8,4.959,5228.1,"yes",29,0
"Adult","admin.","married","university.degree","no","no","no","telephone","jul","mon",1076,2.66104143621945,"No","nonexistent",1.4,93.918,-42.7,4.962,5228.1,"yes",50,1
"Adult","admin.","married","professional.course","no","yes","no","cellular","apr","thu",571,1,"No","nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes",60,0
"Jove-Adult","technician","married","professional.course",NA,"yes","no","telephone","may","mon",579,1,"No","nonexistent",1.1,93.994,-36.4,4.857,5191,"yes",41,1
"Adult","blue-collar","married","basic",NA,"no","no","cellular","may","tue",568,1,"No","failure",-1.8,92.893,-46.2,1.344,5099.1,"yes",49,2
"Jove-Adult","blue-collar","married","basic",NA,"no","no","telephone","jun","fri",1663,1,"No","nonexistent",1.4,94.465,-41.8,4.959,5228.1,"yes",37,1
"Jove-Adult","technician","married","high.school","no","no","no","telephone","jun","mon",940,1,"No","nonexistent",1.4,94.465,-41.8,4.961,5228.1,"yes",36,0
"Jove-Adult","blue-collar","married","basic","no","no","no","cellular","apr","thu",78,2,"No","nonexistent",-1.8,93.075,-47.1,1.41,5099.1,"yes",26,0
"Adult","technician","married","professional.course","no","yes","no","cellular","apr","thu",341,1,"No","nonexistent",-1.8,93.075,-47.1,1.365,5099.1,"yes",51,0
"Jove-Adult","admin.","married","university.degree","no","yes","no","cellular","mar","mon",154,1,"No","nonexistent",-1.8,92.843,-50,1.811,5099.1,"yes",26,0
"Adult","services","married","basic","no","no","no","cellular","may","wed",984,1,"No","failure",-1.8,92.893,-46.2,1.334,5099.1,"yes",46,1
"Jove-Adult","technician","married","basic","no","no","no","cellular","jul","mon",854,1,"No","nonexistent",1.4,93.918,-42.7,4.96,5228.1,"yes",36,0
"Jove-Adult","admin.","married","high.school",NA,"no","no","cellular","may","fri",585,1,"No","nonexistent",-1.8,92.893,-46.2,1.25,5099.1,"yes",35,1
"Jove-Adult","blue-collar","single","basic","no","yes","no","cellular","apr","thu",315,1,"Yes","success",-1.8,93.075,-47.1,1.365,5099.1,"yes",28,0
"Jove-Adult","self-employed","single","university.degree","no","no","no","telephone","may","mon",414,2,"No","nonexistent",1.1,93.994,-36.4,4.857,5191,"yes",38,0
"Jove-Adult","services","married","basic","no","no","no","telephone","may","thu",746,1,"No","nonexistent",1.1,93.994,-36.4,4.86,5191,"yes",32,0
"Jove-Adult","admin.","single","university.degree",NA,"no","no","telephone","jun","tue",556,1,"No","nonexistent",1.4,94.465,-41.8,4.961,5228.1,"yes",38,1
"Jove-Adult","blue-collar","married","basic",NA,"no","no","cellular","may","tue",548,2,"No","nonexistent",-1.8,92.893,-46.2,1.291,5099.1,"yes",32,1
"Jove-Adult","technician","married","professional.course",NA,"no","no","telephone","may","thu",1224,2,"No","nonexistent",1.1,93.994,-36.4,4.86,5191,"yes",35,2
